SR,Township,Village,Village_MM,Location,Locals_Used_ENG,Locals_Used_MM
259,Chin,Falam,Nimzawl,နိမ်ဇောလ်,"23.0941905975342,93.8975372314453",0,0
260,Chin,Falam,Ralum,ရာလ်အွမ်,"23.0148906707764,93.8779296875",0,0
261,Chin,Falam,Zalang,ဇာလန်,"23.0323905944824,93.8794631958008",0,0
262,Chin,Falam,Khengkang,ခင်ကန်,"22.9136816,93.5901122",0,0
263,Chin,Falam,Zathlir,ဇာထလိရ်,"22.9367008209229,93.5994262695313",0,0
264,Chin,Falam,Ka Pyin Chauk,ကပြင်ချောက်,"22.852970123291,93.9755935668945",0,0
265,Chin,Falam,Mualzawl,မွာလ်ဇောလ်,"22.9847019,93.9223739",0,0
266,Chin,Falam,Par Mun Chaung,ပါမွန်ချောင်း,"22.9766693115234,93.9833374023438",0,0
267,Chin,Falam,Zatual,ဇာသွားလ်,"22.9418506622314,93.9541625976563",0,0
268,Chin,Falam,Kelkawng,ကဲလ်ကောင်,"23.1605091094971,93.682487487793",0,0
269,Chin,Falam,Sialsih,ရှာလ်စီ,"23.1527099609375,93.6914672851563",0,0
270,Chin,Falam,Sihtui,စီသွေး,"23.1585828,93.6805349",0,0
271,Chin,Falam,Vazang,ဗာရန်,"23.1486206054688,93.6802673339844",0,0
272,Chin,Falam,Zawlnu,ဇောလ်နိုး,"23.1592597961426,93.6906280517578",0,0
273,Chin,Falam,Bungzung,ဘုန်ဇုန်း,"22.9906406402588,93.4713821411133",0,0
274,Chin,Falam,Zo/Dihai,ဇို / ဒီဟိုင်,"22.9871501922607,93.4656829833984",0,0
275,Chin,Falam,Haimual,ဟိုင်မွာလ်,"23.0025501251221,93.4340896606445",0,0
276,Chin,Falam,Hnahthial (Haung),နှိထိအလ် (ဟောင်း),"23.0103609,93.4031853",0,0
277,Chin,Falam,Hnahthial (New),နှိထိအလ် (သစ်),"23.0274417,93.3863596",0,0
278,Chin,Falam,Ngailan,ငိုင်လန့်,"23.0403995513916,93.4077835083008",0,0
279,Chin,Falam,Thipcang,ထိပ်စာန်း,"23.0234699249268,93.4286270141602",0,0
