Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
Bo Mee Tauk PDF,13 February 2023,7 March 2023,PDF,2,3,0,0,20,1
Burmese Peacock Defence Force,16 August 2022,12 December 2022,PDF,1,5,0,0,9,0
Central Region Special Operation Force,15 May 2022,11 February 2023,PDF,2,5,0,0,4,3
Daung New Generation (KPDF),16 October 2022,18 March 2023,PDF,2,4,0,0,5,1
Hpruso PDF,13 May 2022,12 January 2023,PDF,2,7,0,0,12,0
Independence Army (IA),29 May 2022,13 March 2023,PDF,3,4,0,0,25,0
Inle PDF,15 May 2022,4 January 2023,PDF,2,7,0,0,15,10
Karenni PDF,5 August 2022,16 June 2023,PDF,3,7,0,0,28,0
Liberation Army of Central Region (LACR),27 December 2022,21 March 2023,PDF,2,2,0,0,22,0
Meiktila Guerrilla Force - MHLG PDF,9 May 2023,21 June 2023,PDF,1,4,0,0,7,0
Monywa Brave Hearts MBH,5 June 2022,25 June 2023,PDF,2,2,0,0,20,0
Nay La Satkyar - Shwebo PDF,27 October 2022,14 February 2023,PDF,1,5,0,0,19,0
Pakokku North PDF,19 May 2022,19 May 2023,PDF,2,2,0,10,11,0
Pakokku North PDF (PKU N PDF),13 May 2022,16 August 2022,PDF,3,5,0,0,17,0
Ramanya Guerrilla Force-RGF,10 May 2022,3 February 2023,PDF,2,8,0,1,13,0
Rangers Army,16 June 2023,8 July 2023,PDF,1,5,0,0,44,0
Royal Phoenix PDF,28 November 2022,8 July 2023,PDF,3,5,1,0,7,0
South Gangaw PDF,30 July 2022,26 October 2022,PDF,1,6,0,0,7,0
Thein Pyan Guerrilla Force (Taung Dwin),6 September 2022,29 December 2022,PDF,2,3,0,0,7,0
Wetlet Revolution Front (WRF),18 October 2022,20 February 2023,PDF,2,7,0,0,6,0
Adventure Guerilla,14 May 2022,10 November 2022,PDF,2,5,1,0,6,0
Anti-Coup People's Liberation Force,19 February 2022,7 January 2023,PDF,6,8,0,0,5,0
AST - MDY,27 January 2023,18 April 2023,PDF,6,13,0,3,0,0
Ayeyarwaddy Dolphin,3 September 2022,30 April 2023,PDF,3,7,0,1,1,0
Black Falcon PDF,26 December 2022,4 May 2023,PDF,2,4,0,1,6,0
Budalin PDF (Mahar Bandula Battalion),16 May 2022,15 March 2023,PDF,1,7,0,0,7,3
Chaung-U Weapons Installation,9 October 2022,19 November 2022,PDF,2,4,0,0,11,0
Child / children,1 May 2023,1 June 2023,Civilian,11,11,9,0,0,0
Fighter 9 Force,1 June 2023,5 July 2023,PDF,3,5,0,0,2,0
Generation Z Defence Force & Supply Army (GZDF),2 May 2022,14 December 2022,PDF,6,11,0,0,5,0
Mingin Guerrilla Force,16 March 2023,18 March 2023,PDF,1,3,0,0,0,0
Monywa True Of Force,23 May 2022,7 October 2022,PDF,2,3,0,0,10,0
Myaing Underground PDF,14 June 2022,27 June 2023,PDF,2,3,0,0,50,3
Nway Oo Guerrilla Force,17 July 2022,11 June 2023,PDF,4,5,0,0,11,0
People’s Dictatorship Revolutionary Force-PDRF,1 August 2022,11 June 2023,PDF,1,6,0,0,5,2
Salingyi People's Force (S.P.F),4 May 2022,5 June 2022,PDF,1,2,0,0,0,0
Taik Nal Falcon PDF,23 July 2022,7 July 2023,PDF,3,8,6,0,31,13
Tein Pyan Guerrilla Force,8 December 2022,8 December 2022,PDF,1,2,0,0,0,0
Thayarwady Galone PDF,4 September 2022,15 April 2023,PDF,3,11,0,8,1,0
Urban Guerrilla Force,8 July 2022,27 April 2023,PDF,5,7,0,0,6,0
Yangon PDF (Bahan),19 February 2022,21 August 2022,PDF,5,8,0,0,9,1
Army Representing Myanmar Society (ARMS),20 October 2022,15 March 2023,PDF,5,5,3,0,56,3
Bo Mi Chaung PDF,17 May 2023,30 May 2023,PDF,1,3,0,1,7,0
Bokpyin PDF,1 September 2022,3 July 2023,PDF,1,9,0,1,12,0
BRR PDF,10 October 2022,19 June 2023,PDF,2,2,0,0,3,0
Dark Shadow PDF,21 April 2022,5 May 2023,PDF,6,10,2,0,0,0
Dynamite Emperor,15 December 2022,22 January 2023,PDF,2,4,0,0,34,0
EPDF,19 May 2022,15 November 2022,PDF,2,2,0,0,11,0
Guerrilla Warrior PDF,28 March 2023,28 March 2023,PDF,1,1,0,0,0,0
Joe Phyu Guerrilla Force,10 February 2022,19 March 2023,PDF,3,8,1,3,3,0
Khin-U Region Defensive Alliance Force - KURDAF,6 August 2022,18 April 2023,PDF,1,5,0,0,51,1
Ko Ta Mar Artillery Guerrilla Force,17 March 2023,17 March 2023,PDF,1,2,0,0,0,0
Mahar Local PDF,24 June 2022,28 February 2023,PDF,2,4,0,1,3,0
MinKin PDF - MKPDF,1 July 2022,29 December 2022,PDF,2,3,0,0,10,1
Myingyan Ranger Group,5 February 2022,13 May 2023,PDF,1,3,0,0,24,0
Nant Thar Myae Yet Kha PDF,5 July 2022,19 September 2022,PDF,1,3,0,2,2,1
Pa Tee Ta Lone PDF,8 November 2022,17 May 2023,PDF,1,6,0,0,12,1
Pale Plain Defence Group-PPDG,6 May 2022,15 June 2022,PDF,2,2,0,0,13,0
Phoenix Revolution Ranger,5 January 2023,5 January 2023,PDF,1,1,0,0,0,0
Pone Taung Galone Hero PDF,12 June 2022,22 February 2023,PDF,2,3,0,0,42,3
PRLF,2 August 2022,23 August 2022,PDF,1,3,0,0,17,0
Rickshaw PDF,5 January 2023,5 January 2023,PDF,1,1,0,0,0,0
Southern Magway People Defence Force (SMGY PDF),5 August 2022,7 April 2023,PDF,2,7,0,2,14,0
Tavoy People Liberation Force - TPLF,13 July 2022,31 May 2023,PDF,2,8,1,0,19,0
X-Force LPDF ShweBo,2 April 2023,16 June 2023,PDF,1,4,0,0,43,2
Ye Special Tasks Forces,8 September 2022,26 May 2023,PDF,1,10,0,0,7,0
YLK Guerrilla Force,29 January 2023,30 January 2023,PDF,1,2,0,0,1,0
Zomi PDF,17 October 2022,31 December 2022,PDF,5,5,0,0,15,0
Artillery Guerrilla Force - Myaing,9 October 2022,9 October 2022,PDF,1,1,0,0,8,0
Black Peacock PDF,23 January 2023,1 April 2023,PDF,1,5,0,0,11,0
Bo Mee Khae PDF,16 February 2023,8 April 2023,PDF,1,2,0,0,2,0
Bo Ta Mar Guerrilla Force,17 December 2022,3 April 2023,PDF,3,3,0,0,6,0
BOB PDF,24 July 2022,24 February 2023,PDF,2,3,0,0,6,0
Brother Of lands Defence Force,2 September 2022,9 September 2022,PDF,1,2,0,0,17,0
Daung Nyo,22 December 2022,15 February 2023,PDF,1,5,0,0,6,0
Farmer Warriors Force,13 March 2023,1 July 2023,PDF,2,3,0,0,6,0
Generation-Y Guerilla (GYG),4 August 2022,1 December 2022,PDF,6,7,0,0,0,0
Hero G.Z PDF,9 October 2022,9 October 2022,PDF,1,1,0,0,8,0
HPDF,3 February 2023,5 May 2023,PDF,1,4,4,0,20,2
Mahuya Wild Elephant PDF,8 January 2023,23 June 2023,PDF,2,2,0,0,23,1
Monywa Heroes Group,14 May 2022,30 August 2022,PDF,2,4,0,0,6,0
Mountain Eagle Defence Force MEDF,7 August 2022,13 March 2023,PDF,2,7,1,0,15,1
Myinmu Guerrilla Force,29 December 2022,29 May 2023,PDF,2,3,0,0,0,0
Not Afraid Anything - NAA-DF,2 September 2022,9 September 2022,PDF,1,2,0,0,17,0
People Power Coalition - PPC,13 July 2022,7 May 2023,PDF,2,5,0,0,46,1
Power 54 PDF,18 April 2023,7 July 2023,PDF,2,2,0,0,0,0
Salingyi Thu Ba Yar Zar,8 February 2022,6 January 2023,PDF,2,3,0,0,0,0
Sea Falcon Force - SFF,12 February 2023,29 May 2023,PDF,2,3,0,0,2,0
Thanlyin PDF,24 November 2021,18 February 2023,PDF,1,14,0,3,2,0
Zaung Htet Guerrilla Force,9 October 2022,9 October 2022,PDF,1,1,0,0,8,0
Asho Chin Defence Force - ACDF,5 August 2022,7 April 2023,PDF,2,6,0,0,19,0
Black Guerrilla Force (PRF),16 February 2023,24 February 2023,PDF,2,3,0,0,5,0
Bo Phyu Group,18 September 2022,19 September 2022,PDF,1,2,0,2,2,1
Dawei Collective Column,23 April 2023,16 June 2023,PDF,1,8,0,0,19,0
Dawei East Forest PDF (DEF),2 September 2022,19 November 2022,PDF,1,5,0,0,18,0
Eagle Brothers PDF,4 February 2022,29 December 2022,PDF,4,5,0,0,2,0
Eastern Pauk PDF,18 September 2022,19 September 2022,PDF,1,2,0,2,2,1
Force for Federal Democracy - FFD,6 December 2022,28 March 2023,PDF,1,6,2,0,32,9
Hpasawng PPDF,1 May 2023,18 June 2023,PDF,2,7,0,0,11,2
Kalay Underground Force,21 June 2022,6 June 2023,PDF,1,7,0,2,35,0
Magway Guerrilla Warfare,12 January 2023,16 June 2023,PDF,3,7,0,3,6,0
MSaiNaw Nga Ye Mee PDF,20 January 2023,25 January 2023,PDF,1,3,0,0,5,6
PDF (Anonymous Heroes),8 May 2022,30 December 2022,PDF,1,4,0,0,21,0
People Defence and Revenge Army - PDRA,3 February 2023,29 April 2023,PDF,2,3,0,0,4,0
Ranger PDF,18 February 2023,24 March 2023,PDF,2,4,0,0,8,0
Sitt Naing PDF,23 January 2023,27 March 2023,PDF,2,4,0,0,4,0
Soul Takers - Yangon Underground Force (PDF),2 May 2022,3 July 2023,PDF,5,10,0,3,3,0
Thayarwady PDF,5 April 2022,29 October 2022,PDF,5,8,0,3,13,0
Warrior Guerrilla Force,9 October 2022,24 March 2023,PDF,2,2,0,0,8,0
Bogyoke Guerrilla Force,13 April 2023,15 April 2023,PDF,2,2,0,0,3,0
CDF-KKG,1 May 2022,10 May 2022,PDF,1,5,5,0,24,3
Daung Yin Thway Guerrilla Force,25 February 2023,15 March 2023,PDF,1,3,0,0,0,5
G Fatt Army,27 March 2023,27 March 2023,PDF,1,4,0,0,1,0
Galone Army - Natmauk,16 October 2022,5 June 2023,PDF,1,8,0,4,20,0
Harmonious Northern Brotherhood - HNB,26 November 2022,31 March 2023,PDF,1,2,0,0,10,0
HPDF - 124,3 February 2023,5 May 2023,PDF,1,3,4,0,20,2
K.M.D 18,4 November 2022,23 March 2023,PDF,4,6,0,0,0,0
Kachin Region People Defence Force - KPDF - Namma (KPDF),31 May 2022,29 April 2023,PDF,4,7,0,0,0,3
Kani Urban Guerrillas (KUG),27 May 2022,25 December 2022,PDF,3,3,0,0,0,0
Kawlin District PDF,26 July 2022,16 June 2023,PDF,3,7,0,0,38,0
Kyaukhtu Regional PDF (YRPA),12 July 2022,7 February 2023,PDF,1,7,0,0,33,0
Lightning Guerrilla Revolution Force (LGRF),15 November 2022,18 April 2023,PDF,3,7,1,0,86,1
Mogok PDF,26 June 2022,12 April 2023,PDF,2,7,0,0,36,0
Myay Pyant Region Defence Force,13 September 2022,4 March 2023,PDF,2,3,0,0,4,0
Peacock Prince Yedashe PDF,23 October 2022,7 July 2023,PDF,1,8,0,0,60,0
People Defence Force Column 1,31 December 2022,14 April 2023,PDF,2,4,0,0,5,0
People's Security and Defence Army - PSDA,26 July 2021,23 November 2022,PDF,3,10,1,2,8,6
Phyu PDF,18 January 2023,10 July 2023,PDF,1,10,0,3,9,0
Union of Myanmar Civil Defence - UMCD,11 July 2022,7 December 2022,PDF,6,6,0,0,4,0
Upper Minhla People Defence Force (UMH PDF),5 August 2022,7 April 2023,PDF,1,5,0,0,29,0
Waw PDF,5 December 2022,27 April 2023,PDF,1,6,0,3,1,1
YSO NO 1 Guerrilla Force,13 September 2022,31 December 2022,PDF,2,4,0,0,17,1
9-One PDF,14 March 2023,24 March 2023,PDF,2,2,0,0,14,0
BGF (Myingyan) PDF,25 June 2022,11 June 2023,PDF,2,2,1,0,11,0
Dawei PDF (A Din Hmue),20 July 2022,14 May 2023,PDF,1,5,0,0,42,0
Democratic Local Coalition (DLC),12 May 2023,9 June 2023,PDF,3,5,0,0,5,0
Doe Nyi Naung PDF,15 November 2022,18 April 2023,PDF,1,4,0,0,39,0
Dynamite Heroes (BDL-PDF),8 May 2022,17 November 2022,PDF,3,3,0,0,33,0
Flying Stars Force (Bokpyin PDF),3 December 2022,8 May 2023,PDF,1,6,0,1,4,0
Kawthoung PDF,1 September 2022,8 May 2023,PDF,2,8,0,1,6,0
Marauder Front Five (MFF),16 August 2022,2 December 2022,PDF,3,6,0,1,0,0
Myinmu Bo Than Khae PDF,19 July 2022,24 July 2022,PDF,2,2,0,0,4,0
Nga Moe Yeik Column - Monywa District PDF,14 April 2023,28 June 2023,PDF,2,3,0,0,15,0
Nighthawks Drone,22 November 2022,3 June 2023,PDF,2,4,0,0,19,0
NUG Battalion 1102,25 June 2022,12 November 2022,PDF,2,5,0,0,10,2
Nway Oo Nyi Naung PDF,1 January 2023,8 April 2023,PDF,2,2,0,0,5,0
Pakokku Special Guerrilla Force - PSGF,11 June 2023,11 June 2023,PDF,2,2,0,0,9,0
Pakokku Urban Guerrilla (PUGF),13 May 2022,22 May 2022,PDF,2,2,0,0,4,0
PDF - Yar Za Than,19 July 2022,13 September 2022,PDF,1,2,0,0,6,0
People Defense Guerrilla Force (TYC),26 June 2022,12 June 2023,PDF,2,4,0,0,32,0
People Special Force,10 October 2022,28 December 2022,PDF,1,2,0,0,0,0
People’s Revolution Alliance (PRA- Magway),1 November 2022,23 May 2023,PDF,3,6,0,0,17,1
PK Guerrilla Force,2 August 2022,6 January 2023,PDF,2,2,0,1,0,0
Sagaing District PDF (Drone Battalion),24 July 2022,31 August 2022,PDF,2,2,0,0,4,0
Shadow PDF,3 June 2022,2 January 2023,PDF,2,5,0,1,2,1
Shwe-Ao Revolution Force,2 July 2022,3 July 2022,PDF,2,2,0,0,16,0
Sittaung PDF,28 August 2022,3 May 2023,PDF,4,8,0,0,12,0
Tabin Shwe Htee PDF,9 December 2022,9 July 2023,PDF,2,4,0,0,6,0
TCDF,31 March 2023,11 July 2023,PDF,2,2,0,0,7,4
Yaw Defence Force - Saw YDF,2 May 2022,19 August 2022,PDF,1,3,0,0,8,0
Ywangan PDF,10 February 2022,3 June 2023,PDF,4,6,0,3,15,5
Anyar Myay Special Commando Defence Force,14 April 2023,6 June 2023,PDF,2,2,0,1,9,0
ARSA - Arakan Rohingya Salvation Army,7 January 2022,18 January 2023,EAO,2,9,2,0,5,1
Aunglan PDF,8 July 2022,8 June 2023,PDF,1,8,0,4,4,0
Avenger PDF,15 June 2022,15 June 2022,PDF,1,1,0,0,13,0
Bo Myin Pyan PDF,21 October 2022,21 October 2022,PDF,1,1,0,0,3,0
Cuckoo Column,18 February 2023,14 May 2023,PDF,2,5,0,0,19,0
Double K PDF,1 March 2023,1 March 2023,PDF,1,1,0,0,5,0
Freedom Rangers - Tamu PDF,24 May 2022,26 September 2022,PDF,2,5,0,0,40,0
G-Z Special Task Force - Wetlet,18 June 2022,4 April 2023,PDF,3,7,2,0,13,7
God Hand LPDF,16 June 2023,16 June 2023,PDF,1,3,0,0,37,0
Hero Guerilla - Gyobingauk,13 March 2023,11 June 2023,PDF,2,5,0,3,17,0
Hmawbi Revolution Force,26 June 2022,16 April 2023,PDF,2,7,0,0,0,0
Htan Ta Pin PDF - Yinmarbin,1 March 2023,1 March 2023,PDF,1,1,0,0,5,0
Lightning Drone Force,17 June 2023,17 June 2023,PDF,1,2,0,0,0,0
Madaya Revolution Force - MRF,6 March 2023,23 March 2023,PDF,1,2,0,0,7,1
Moe Shey Dar Yan,11 June 2023,18 June 2023,PDF,2,2,1,0,11,0
Myae Let One More PDF,2 March 2022,1 May 2022,PDF,2,2,0,0,26,0
Neutral PDF,15 May 2022,29 September 2022,PDF,1,6,0,0,8,1
Pone Ka Na PDF,9 July 2022,14 June 2023,PDF,2,3,0,0,10,0
Shwe Bo Eye For Eye PDF,21 October 2022,21 October 2022,PDF,1,1,0,0,3,0
Tanintharyi Yoma Force,15 May 2022,6 June 2023,PDF,1,4,0,0,21,0
Yadanabon PDF,1 March 2023,1 March 2023,PDF,1,1,0,0,5,0
Yaenanchaung PDF,9 July 2022,14 April 2023,PDF,2,3,0,0,28,0
YBF PDF,15 June 2022,15 June 2022,PDF,1,1,0,0,13,0
Zawgyi PDF,6 March 2023,7 March 2023,PDF,1,2,0,0,5,0
Cat's Claw PDF,19 August 2022,17 November 2022,PDF,2,3,0,0,0,0
Chindwin Myay PDF,27 March 2023,30 April 2023,PDF,2,2,0,0,0,0
Crocodile Column,8 December 2022,8 December 2022,PDF,1,5,0,0,5,0
Dar Min Gyi Force,23 March 2023,13 June 2023,PDF,1,2,0,0,8,1
DRPA,19 June 2023,23 June 2023,PDF,2,2,0,0,3,0
Forest Fighter,24 June 2023,28 June 2023,PDF,2,3,0,0,10,0
Freedom Federals PDF,24 March 2023,2 July 2023,PDF,2,3,0,0,10,0
Madaya People's Police,29 March 2023,17 May 2023,PDF,1,4,0,0,14,0
Monywa Inventor,14 June 2022,7 October 2022,PDF,2,3,0,0,7,0
Monywa People's Security Force,2 August 2022,25 June 2023,PDF,1,4,0,0,5,0
PDF - Combat Engineer Unit (Tamu),6 February 2022,24 September 2022,PDF,1,6,0,0,10,0
PDF - Htilin,15 May 2022,18 March 2023,PDF,1,5,2,0,45,1
Pu Ri Ya Kha Brother PDF,31 January 2023,29 June 2023,PDF,1,5,0,0,1,0
Red Peacock PDF - Ayadaw,28 November 2022,11 January 2023,PDF,1,3,0,0,9,0
Tha Ye Ni PDF,12 January 2023,5 February 2023,PDF,1,5,0,0,16,0
Tha Yet Kan PDF,19 January 2023,7 April 2023,PDF,1,2,1,0,1,0
Twae Ma Shoung (Sounthern Pauk),9 July 2022,4 March 2023,PDF,3,3,0,0,12,0
War Of Hunter Revolution Force (WOH),24 August 2022,10 December 2022,PDF,6,9,0,0,0,0
Wolf (Ye-U) PDF,24 July 2022,9 September 2022,PDF,2,2,0,0,5,0
Yangon Northokkalapa Revolution (YGNNORV),27 June 2022,12 August 2022,PDF,3,5,0,0,4,1
Yaung Ni PDF - Pale,26 October 2022,5 June 2023,PDF,1,2,0,0,20,0
Ayaydaw Naung Yoe,7 May 2022,23 October 2022,PDF,2,2,0,0,9,1
Black Dragon Commando,28 July 2022,21 June 2023,PDF,2,4,0,0,5,0
Black Rose UG Force,30 October 2022,30 October 2022,PDF,1,2,0,0,5,0
Bo Be Luu PDF,10 October 2022,10 October 2022,PDF,1,1,0,0,0,0
Bo Byet Wi PDF,29 September 2022,24 January 2023,PDF,1,3,0,0,4,0
Bo Cross PDF - Myaing,10 October 2022,10 October 2022,PDF,1,1,0,0,0,0
Bo Mae Lone PDF,10 October 2022,10 October 2022,PDF,1,1,0,0,0,0
Daw Na Column,20 September 2022,22 December 2022,PDF,2,4,0,0,15,0
Eagle Brigade,1 November 2022,24 May 2023,PDF,2,3,0,0,24,1
Falcon Wings,24 November 2022,1 January 2023,PDF,2,4,0,0,0,0
FR PDF,14 October 2022,26 May 2023,PDF,2,2,0,0,1,0
Hpar Shwe Kyaw,12 May 2022,14 May 2022,PDF,1,2,0,0,2,0
Kanbauk Defense Force (KBDF),7 May 2022,31 August 2022,PDF,1,6,0,0,8,0
Leopard Mobile Defence Force – Myaung,21 March 2023,21 March 2023,PDF,1,1,0,0,19,0
Lin Mway PDF,19 August 2022,9 April 2023,PDF,2,3,0,0,6,0
Loikaw Local PDF,15 May 2022,18 July 2022,PDF,2,2,0,0,11,1
Masi Naw (Hell Fire) PDF,15 December 2022,16 February 2023,PDF,2,2,0,0,2,0
Monywa Force (MYF),23 October 2022,23 October 2022,PDF,1,2,0,0,0,0
Monywa Peacock Defence Force,25 March 2023,14 May 2023,PDF,2,2,0,0,3,0
Monywa UG Alliance Force,26 May 2022,28 May 2023,PDF,1,5,0,0,6,1
MS9 Brothers PDF,21 March 2023,21 March 2023,PDF,1,1,0,0,19,0
Myaing Garuda PDF,29 April 2022,30 June 2022,PDF,1,2,0,0,53,2
Myaing People Defense Force,29 April 2022,18 June 2022,PDF,2,4,0,0,84,2
Myanmar Revolution Force (MRF)- Nattalin,8 October 2022,15 April 2023,PDF,1,5,0,1,10,0
Myit Ma Kha Special Task Force,4 August 2022,21 October 2022,PDF,5,5,0,0,0,0
Nagar Pyan Theikdishin,7 May 2022,10 August 2022,PDF,2,2,0,0,13,1
Nat Shin Naung PDF,10 October 2022,10 October 2022,PDF,1,1,0,0,0,0
NBARS PDF,9 September 2022,16 January 2023,PDF,1,3,0,0,1,0
Nga Ba Guerrilla Force YSO Southern PDF,1 January 2023,17 February 2023,PDF,1,2,0,0,5,2
Otter PDF,4 August 2022,22 October 2022,PDF,2,3,0,0,24,0
People Defence Army - Yinmarbin,31 May 2022,14 October 2022,PDF,1,2,0,0,30,0
Salin PDF,13 May 2022,27 June 2023,PDF,3,5,0,0,12,2
Shan Shan Tauk Special Force,2 February 2023,10 March 2023,PDF,2,4,0,0,5,0
Snipe Rangers Force (S.R.S.F),30 May 2023,9 July 2023,PDF,3,4,0,0,9,0
Soldiers Dog Killer Hunters PDF,22 December 2022,15 March 2023,PDF,2,3,0,0,13,0
Tain Hlwar Daung Min PDF,17 September 2022,6 February 2023,PDF,1,4,0,0,6,0
Taze Civil Revolution Force (TCRF) (PLA),16 December 2022,4 June 2023,PDF,1,3,0,0,9,1
Tike Daung PDF,4 January 2023,3 June 2023,PDF,3,6,0,1,10,0
Young Man PDF,21 March 2023,21 March 2023,PDF,1,1,0,0,19,0
1000 Warriors (Ayadaw),23 July 2022,23 July 2022,PDF,1,1,0,0,0,0
A Maye Let Yone Guerrilla Force,5 October 2022,5 October 2022,PDF,1,1,0,0,9,0
AMA PDF - Ayadaw,23 November 2022,23 November 2022,PDF,1,2,0,0,0,0
B-Two Fighter PDF,13 February 2023,26 April 2023,PDF,1,5,0,0,5,0
Bamar People's Liberation Army (BPLA),4 June 2022,25 February 2023,PDF,1,4,2,0,17,6
Black Hero Guerrilla Force (BHGF),16 December 2022,5 January 2023,PDF,1,4,0,4,1,0
Black Team PDF,19 February 2023,21 June 2023,PDF,1,3,0,0,3,0
Bo Sa Kar Guerrilla Force,22 February 2023,24 April 2023,PDF,2,3,0,0,6,0
Bogale PDF,22 May 2022,30 April 2023,PDF,2,5,0,0,1,0
Burma Phoenix Organization (BPO),19 September 2021,22 September 2022,PDF,4,4,0,0,6,0
Cobra Special Force - CSF,8 August 2022,5 September 2022,PDF,1,3,0,0,0,0
CSS,10 May 2022,10 May 2022,PDF,1,3,0,0,7,0
Daung Khit PDF,15 January 2023,16 January 2023,PDF,1,5,0,0,0,0
Demo Guerrilla Force,17 October 2022,25 November 2022,PDF,2,4,0,0,26,0
From Zero to Hero Guerrilla Force,12 December 2021,23 May 2022,PDF,4,8,0,1,0,0
Garuda Column,6 May 2022,19 June 2023,PDF,3,5,0,0,31,0
Hseni PDF,1 December 2021,5 May 2023,PDF,2,3,4,0,0,0
Jun 21 PDF (Pale),6 January 2023,6 January 2023,PDF,1,1,0,0,0,0
Ka Sal Do Federal Column,28 October 2022,18 December 2022,PDF,1,6,1,0,19,4
Koe Taung Boet Revolution (KTB R),16 August 2022,14 June 2023,PDF,2,6,2,0,3,2
Mon State Defence Force (MSDF) - South,1 September 2022,30 April 2023,PDF,2,5,1,0,8,5
New Generation Youth LPDF,30 November 2022,3 July 2023,PDF,2,3,0,0,3,0
Ngazun's Heroes PDF,1 June 2022,5 December 2022,PDF,2,3,0,1,0,0
Northern Brotherhood Alliance Revolution Squad,7 October 2022,22 January 2023,PDF,2,2,0,0,30,0
Northern Revolution Force - NRF,4 May 2022,9 April 2023,PDF,2,3,0,0,0,2
Okpho Underground Guerilla Force,20 March 2023,6 July 2023,PDF,1,6,0,1,0,0
Operation MoMo PDF,23 July 2022,13 February 2023,PDF,1,7,0,1,8,0
PDF Thandaung,7 June 2022,4 July 2023,PDF,1,7,0,0,25,0
People's Defence Army (Mawlaik District),2 May 2022,28 April 2023,PDF,2,5,0,0,11,0
Royal Phoenix Guerrilla Force,23 December 2022,18 March 2023,PDF,3,3,0,0,0,0
Secret Warrior (UG),13 July 2022,11 May 2023,PDF,3,4,0,0,19,1
SJF - Shwebo PDF,23 July 2022,23 July 2022,PDF,1,1,0,0,0,0
Student's Revolutionary Force (S.R.F),1 November 2022,8 June 2023,PDF,2,5,0,0,15,1
T.K.F,7 November 2022,7 November 2022,PDF,1,3,0,0,0,0
Taze Supporting Organization - TSO,1 July 2022,13 October 2022,PDF,2,3,10,0,15,0
Thin Taw PDF,25 May 2023,2 June 2023,PDF,1,3,0,0,5,0
Yinmarbin - Salingyi Artillery Alliance,24 March 2023,27 March 2023,PDF,2,4,0,0,2,0
Young Defence Power Force - MGDN,12 August 2022,16 November 2022,PDF,2,5,0,0,0,0
YUGA (MO-7 Eagles),11 August 2022,23 April 2023,PDF,2,5,0,1,13,0
Zero - Nine PDF,10 April 2023,14 April 2023,PDF,1,3,0,1,8,0
3D PDF,25 January 2023,4 March 2023,PDF,2,2,0,0,4,0
Aung Zay Ya PDF,8 June 2023,8 June 2023,PDF,1,2,0,0,8,0
Demon King Defence Force (D.K.D.F),28 August 2022,24 October 2022,PDF,1,3,0,0,3,0
FAF PDF,25 January 2023,25 January 2023,PDF,1,2,0,0,5,0
Fly PDF,15 October 2022,15 October 2022,PDF,1,1,0,0,2,0
Galone Yazar Guerrilla Force,16 November 2022,25 June 2023,PDF,3,3,0,0,0,0
Kalewa - PDF,18 September 2022,25 March 2023,PDF,2,5,1,0,17,1
Local Brothers PDF - Khin-U,25 January 2023,25 January 2023,PDF,1,2,0,0,5,0
Mar Ga Guerrilla Force,24 November 2022,24 November 2022,PDF,1,1,0,0,0,0
Myitnge Urban Guerrilla Force,10 November 2022,5 February 2023,PDF,2,3,0,3,2,0
N-YSO Guerrilla Force,16 May 2022,17 December 2022,PDF,1,2,0,0,14,0
Northwestern PDF Alliance Force,29 July 2022,15 August 2022,PDF,2,3,4,0,22,0
NUG Battalion 1106,26 July 2022,25 August 2022,PDF,2,4,0,0,12,0
Phay Kan Kaung Group,25 December 2022,5 March 2023,PDF,1,3,1,0,1,0
Phoenix-D-F (Nattalin PDF),25 July 2022,3 February 2023,PDF,1,4,0,0,12,0
Pyan Hlwar PDF,20 January 2023,25 January 2023,PDF,1,2,0,0,1,6
Shwe Freedom Force,15 October 2022,15 October 2022,PDF,1,1,0,0,2,0
Shwe Taw Thar Guerrilla Force,19 November 2022,2 April 2023,PDF,2,3,1,0,11,2
South Dagon Guerrilla Force (SDGF),6 May 2022,5 October 2022,PDF,2,6,0,1,0,0
T1 PDF,7 May 2022,12 November 2022,PDF,3,4,0,0,28,0
Tha Byay Taw PDF,5 July 2022,23 December 2022,PDF,2,2,0,0,9,1
Urban Guerrilla Force - Twantay,30 April 2022,8 October 2022,PDF,1,7,1,9,0,0
Wolves Guerrilla Force,28 August 2022,15 April 2023,PDF,3,4,0,0,4,0
Yin Group Defence Force(YGDF),10 August 2022,7 October 2022,PDF,2,3,0,0,7,0
ZRA - Zomi Revolution Army,16 June 2021,1 April 2023,EAO,2,7,0,0,0,0
Ayeyar Dragon Brothers Guerrilla Force,20 May 2022,26 July 2022,PDF,3,7,0,0,0,0
Bo Kan PDF,19 January 2023,19 January 2023,PDF,1,1,1,0,0,0
Chin Rifles (CR),22 March 2023,31 March 2023,PDF,1,2,0,0,8,0
Chindwin Yoma Alliance PDF,11 March 2022,8 May 2022,PDF,4,6,0,0,72,1
Civil Defence Force - Shwebo,29 January 2023,19 February 2023,PDF,2,2,0,0,9,0
Cylione Guerrilla Force,8 April 2023,8 April 2023,PDF,1,1,0,0,2,0
Dawn Company Drone Force,20 September 2022,22 September 2022,PDF,1,2,0,0,9,0
FOX Army,2 May 2022,6 July 2022,PDF,1,3,0,0,40,0
