Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
Tamu PDF,16 February 2022,22 June 2023,PDF,1,43,3,0,110,9
Monywa Special Datedate Kyal,15 May 2022,28 May 2023,PDF,3,24,0,5,43,0
Taw Thar Gyi Artillery Guerrilla Force,29 July 2022,7 July 2023,PDF,4,13,0,0,16,0
Anyar Thar Guerrilla Force,6 February 2023,15 April 2023,PDF,7,17,0,0,13,0
MGN 35 Guerrilla Force,9 March 2022,11 June 2023,PDF,5,17,2,8,149,3
Myanmar Che Guevara PDF,4 May 2022,2 May 2023,PDF,3,6,0,0,32,0
Sky Hero - Madaya,31 October 2022,4 July 2023,PDF,4,20,0,2,19,0
Zarmani Blood Guerilla Army - Myaing,27 July 2022,23 June 2023,PDF,5,14,0,1,65,7
Launglon PDF,15 March 2022,12 June 2023,PDF,4,53,3,27,32,1
Chaung U Revolution Army (CRA),18 May 2022,7 July 2023,PDF,6,17,0,0,74,0
Palaw PDF (PPDF),28 April 2022,24 June 2023,PDF,2,43,3,0,108,8
A Lin Tan Guerrilla Force,13 September 2022,28 June 2023,PDF,1,21,0,0,20,1
B.C Special Guerrilla Force,8 September 2022,4 May 2023,PDF,4,11,0,0,47,0
Kachin Region People Defence Force - KPDF,14 May 2022,5 July 2023,PDF,15,42,3,0,149,13
Myitnge PDF,30 March 2022,6 June 2023,PDF,6,26,1,4,47,7
Spring Dove PDF,5 November 2022,31 May 2023,PDF,1,20,2,0,69,6
Eagle PDF,29 May 2022,2 June 2023,PDF,12,19,0,0,24,0
Hawk Guerrilla Force,10 May 2022,22 February 2023,PDF,3,16,0,0,57,0
Kanbalu PDF,16 May 2022,30 June 2023,PDF,4,37,6,3,144,7
Monywa Ninja Team,3 February 2022,3 May 2023,PDF,1,20,0,0,1,0
Seven People Defense Force,5 May 2022,10 October 2022,PDF,7,14,0,2,72,1
Shwe Nyar Myay PDF,8 July 2022,9 March 2023,PDF,3,15,0,1,30,2
Thakhin Daung Nyo PDF,10 January 2023,8 July 2023,PDF,3,24,0,0,29,0
Yae Lel Kyun PDFs Alliance,6 May 2022,26 August 2022,PDF,3,13,0,3,57,0
Black Vote Fighter (Yinmarbin),12 November 2022,16 January 2023,PDF,2,9,0,0,31,1
CDF - Mindat,30 April 2022,4 July 2023,PDF,3,47,12,0,104,4
Guerrilla Warfare K.P.K PDF,23 June 2022,4 June 2023,PDF,1,25,0,0,58,0
Myaing Underground Defence Force - MUGDF,22 August 2022,7 June 2023,PDF,3,16,4,1,30,0
Young Fighters PDF - Myaung,2 May 2022,17 October 2022,PDF,3,10,0,0,95,0
