SR,Township,Town,Ward,Ward_MMR,,,
Magway,Kamma,Kamma Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Magway,Magway Town,Aung Chan Thar Ward,အောင်ချမ်းသာရပ်ကွက်,,,
Magway,Magway,Magway Town,Aung Min Ga Lar Ward,အောင်မင်္ဂလာရပ်ကွက်,,,
Magway,Magway,Magway Town,Aung Myit Tar Ward,အောင်မေတ္တာရပ်ကွက်,,,
Magway,Magway,Magway Town,Aung Say Ta Nar Ward,အောင်စေတနာရပ်ကွက်,,,
Magway,Magway,Magway Town,Aung Ya Da Nar Ward,အောင်ရတနာရပ်ကွက်,,,
Magway,Magway,Magway Town,Hson Ward,ဆုံရပ်ကွက်,,,
Magway,Magway,Magway Town,Kan Thar Ward,ကန်သာရပ်ကွက်,,,
Magway,Magway,Magway Town,Min Kan Gyi Ward,မင်းကံကြီးရပ်ကွက်,,,
Magway,Magway,Magway Town,Myin Thar Ward,မြင်သာရပ်ကွက်,,,
Magway,Magway,Magway Town,Myo Haung Ward,မြို့ဟောင်းရပ်ကွက်,,,
Magway,Magway,Magway Town,Myo Ma Oe Bo Ward,မြို့မအိုးဘိုရပ်ကွက်,,,
Magway,Magway,Magway Town,Pyi Taw Thar Ward,ပြည်တော်သာရပ်ကွက်,,,
Magway,Magway,Magway Town,Sar Shwe Kin Ward,ဆားရွှေကင်းရပ်ကွက်,,,
Magway,Magway,Magway Town,Soe Kaw Min Ward,စိုးကောမင်းရပ်ကွက်,,,
Magway,Magway,Magway Town,Thein Gar Gi Ri Ward,သိင်္ဂါဂီရိရပ်ကွက်,,,
Magway,Magway,Magway Town,Ywar Thit Pwe Kyo Ward,ရွာသစ်ပွဲကြိုရပ်ကွက်,,,
Magway,Magway,Magway Town,Zay Lel Soe Ward,ဈေးလယ်စိုးရပ်ကွက်,,,
Magway,Minbu,Minbu Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Minbu,Minbu Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Minbu,Minbu Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Minbu,Minbu Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Minbu,Saku Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Minbu,Saku Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Minbu,Saku Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Mindon,Mindon Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Mindon,Mindon Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Mindon,Mindon Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Mindon,Mindon Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Minhla,Minhla Town,Kwet Thit Ward,ကွက်သစ်ရပ်ကွက်,,,
Magway,Minhla,Minhla Town,Myauk Ward,မြောက်ရပ်ကွက်,,,
Magway,Minhla,Minhla Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Magway,Minhla,Minhla Town,Taung Ward,တောင်ရပ်ကွက်,,,
Magway,Minhla,Minhla Town,Yone Ward (North),ရုံးရပ်ကွက်(မြောက်ပိုင်း),,,
Magway,Minhla,Minhla Town,Yone Ward (South),ရုံးရပ်ကွက်(တောင်ပိုင်း),,,
Magway,Myaing,Myaing Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Myaing,Myaing Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Myaing,Myaing Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Myothit,Myothit Town,Hpa Yar Gyi Ward,ဘုရားကြီးရပ်ကွက်,,,
Magway,Myothit,Myothit Town,Kwet Thit Ward,ကွက်သစ်ရပ်ကွက်,,,
Magway,Myothit,Myothit Town,Lel Pyin Ward,လယ်ပြင်ရပ်ကွက်,,,
Magway,Myothit,Myothit Town,Min Ward,မင်းရပ်ကွက်,,,
Magway,Myothit,Myothit Town,Zay Ward,ဈေးရပ်ကွက်,,,
Magway,Natmauk,Natmauk Town,Aung San Ward,အောင်ဆန်းရပ်ကွက်,,,
Magway,Natmauk,Natmauk Town,Kan Gyi Ward,ကံကြီးရပ်ကွက်,,,
Magway,Natmauk,Natmauk Town,Myo Ma Kwet Thit Ward,မြို့မကွက်သစ်ရပ်ကွက်,,,
Magway,Natmauk,Natmauk Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Magway,Natmauk,Natmauk Town,Ta Mar Pin Ward,တမာပင်ရပ်ကွက်,,,
Magway,Natmauk,Natmauk Town,Yan Aung Myin Ward,ရန်အောင်မြင်ရပ်ကွက်,,,
Magway,Natmauk,Natmauk Town,Zay Kwet Thit Ward,ဈေးကွက်သစ်ရပ်ကွက်,,,
Magway,Ngape,Ngape Town,Kyaung Twin Ward,ကျောင်းတွင်းရပ်ကွက်,,,
Magway,Ngape,Ngape Town,Ngape Myo Ma Ward,ငဖဲမြို့မရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Magway,Pakokku,Kamma Town,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Magway,Pakokku,Myit Chay Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Pakokku,Myit Chay Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Pakokku,Myit Chay Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Pakokku,Myit Chay Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Pakokku,Myit Chay Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Magway,Pakokku,Myit Chay Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Magway,Pakokku,Myit Chay Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Magway,Pakokku,Myit Chay Town,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
