SR,Township,Town,Ward,Ward_MMR,,,
Yangon,Insein,Insein,Kan Nar (West) Ward,ကမ်းနား (အနောက်) ရပ်ကွက်,,,
Yangon,Insein,Insein,Kwet Thit Ward,ကွက်သစ်ရပ်ကွက်,,,
Yangon,Insein,Insein,Kyoet Kone (East) Ward,ကြို့ကုန်း (အရှေ့) ရပ်ကွက်,,,
Yangon,Insein,Insein,Kyoet Kone (West) Ward,ကြို့ကုန်း (အနောက်) ရပ်ကွက်,,,
Yangon,Insein,Insein,Myo Thit (Ga Nge) Ward,မြို့သစ် (ဂ) ရပ်ကွက်,,,
Yangon,Insein,Insein,Myo Thit (Ka Gyi/Kha Gway) Ward,မြို့သစ် (က+ခ) ရပ်ကွက်,,,
Yangon,Insein,Insein,Nant Thar Kone Ward,နံ့သာကုန်း ရပ်ကွက်,,,
Yangon,Insein,Insein,Pauk Taw Ward,ပေါက်တောရပ်ကွက်,,,
Yangon,Insein,Insein,Pein Hne Kone Ward,ပိန်းနှဲကုန်း ရပ်ကွက်,,,
Yangon,Insein,Insein,Saw Bwar Gyi Kone Ward,စော်ဘွားကြီးကုန်း ရပ်ကွက်,,,
Yangon,Insein,Insein,Sint Ngu Ward,စဉ့်ငူ ရပ်ကွက်,,,
Yangon,Insein,Insein,Taung Thu Kone Ward,တောင်သူကုန်းရပ်ကွက်,,,
Yangon,Insein,Insein,Ywar Ma (East) Ward,ရွာမ (အရှေ့) ရပ်ကွက်,,,
Yangon,Insein,Insein,Ywar Ma (Middle) Ward,ရွာမ (အလယ်) ရပ်ကွက်,,,
Yangon,Insein,Insein,Ywar Ma (West) Ward,ရွာမ (အနောက်) ရပ်ကွက်,,,
Yangon,Insein,Insein,Zay Kone (East) Ward,ဈေးကုန်း (အရှေ့) ရပ်ကွက်,,,
Yangon,Insein,Insein,Zay Kone (West) Ward,ဈေးကုန်း (အနောက်) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (4)  Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Yangon,Kamaryut,Kamaryut,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Yangon,Kawhmu,Kawhmu Town,Hpa Yar Lan Ward,ဘုရားလမ်းရပ်ကွက်,,,
Yangon,Kawhmu,Kawhmu Town,Ma Gyi Tan Ward,မကျီးတန်းရပ်ကွက်,,,
Yangon,Kawhmu,Kawhmu Town,Myo Ma Paing Ward,မြို့မပိုင်းရပ်ကွက်,,,
Yangon,Kawhmu,Kawhmu Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Yangon,Kawhmu,Kawhmu Town,Pyi Taw Thar Ward,ပြည်တော်သာရပ်ကွက်,,,
Yangon,Kawhmu,Kawhmu Town,Tar Lan Thit Ward,တာလမ်းသစ်ရပ်ကွက်,,,
Yangon,Kawhmu,Kawhmu Town,Taung Paing Ward,တောင်ပိုင်းရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,Kun Moe Dein Ward,ကွမ်းမိုးဒိန်းရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Yangon,Kayan,Kayan Town,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Yangon,Kungyangon,Kungyangon Town,Kan Gyi -Ma Gyi Tan Ward,ကံကြီး/မကျီးတန်းရပ်ကွက်,,,
Yangon,Kungyangon,Kungyangon Town,Min Paing Ward,မင်းပိုင်းရပ်ကွက်,,,
Yangon,Kungyangon,Kungyangon Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Yangon,Kungyangon,Kungyangon Town,San Pya Ward,စံပြရပ်ကွက်,,,
Yangon,Kungyangon,Kungyangon Town,Taung Bet Paing Ward,တောင်ဘက်ပိုင်းရပ်ကွက်,,,
Yangon,Kungyangon,Kungyangon Town,Taw Pu Lwea Ward,တော်ပုလွဲရပ်ကွက်,,,
Yangon,Kungyangon,Kungyangon Town,Zay Paing Ward,ဈေးပိုင်းရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Yangon,Kyauktada,Kyauktada,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,Ah Lel Paing Ward,အလယ်ပိုင်းရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,Ah Nauk Paing Ward,အနောက်ပိုင်းရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,Ah Shey Paing Ward,အရှေ့ပိုင်းရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,Aye Mya Thi Dar Ward,အေးမြသီတာရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,San Chein Hmi Ward,စံချိန်မီရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,Shwe Kone Ward,ရွှေကုန်းရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,Shwe Pyi Thar Yar Ward,ရွှေပြည်သာယာရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,Sin Kan Ward,ဆင်ကန်ရပ်ကွက်,,,
Yangon,Kyauktan,Kyauktan Town,Thi Dar Myaing Ward,သီတာမြိုင်ရပ်ကွက်,,,
Yangon,Kyauktan,Tadar Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Kyauktan,Tadar Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Kyauktan,Tadar Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Kyauktan,Tadar Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Aye Ywar Ba Loke Nyut Set Ka Lay Ward,အေးရွာဘလုတ်ညွန့်စက်ကလေးရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Baw Ga Ward,ဘောဂရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Htee Tan Set Myay Ward,ထီးတန်းစက်မြေရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Kayin Ah Myo Thar Ward,ကရင်အမျိုးသားရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Ma Gyi Tan (North/East) Ward,မကျည်းတန်း (မြောက်/အရှေ့) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Ma Gyi Tan (North/West) Ward,မကျည်းတန်း (မြောက်/အနောက်) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Ma Gyi Tan (South/East) Ward,မကျည်းတန်း (တောင်/အရှေ့) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Ma Gyi Tan (South/West) Ward,မကျည်းတန်း (တောင်/အနောက်) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Oe Bo Ward,အိုးဘိုရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Pan Hlaing Ward,ပန်းလှိုင်ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Say Yoe Tan Nyein Chan Yay Ward,ဆေးရိုးတန်းငြိမ်းချမ်းရေးရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Seik Gyi U Mya Ngar Sin Ward,ဆိပ်ကြီးဦးမြငါးစင်ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Set San Auk Yon Ah Lat Chaung Ward,စက်ဆန်းအောက်ရုံအလတ်ချောင်းရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Tha Yet Taw (North) Ward,သရက်တော (မြောက်) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Tha Yet Taw (South) Ward,သရက်တော (တောင်) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Thar Du (East) Ward,သာဓု (အရှေ့) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Thar Du (West) Ward,သာဓု (အနောက်) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Thi Dar Ward,သီတာရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,War Yon Seik/Aye Ywar (West) Ward,ဝါးရုံဆိပ်/အေးရွာ (အနောက်) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Zay Gyi (East) Ward,ဈေးကြီး (အရှေ့) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Zay Gyi (West) Ward,ဈေးကြီး (အနောက်) ရပ်ကွက်,,,
Yangon,Kyeemyindaing,Kyeemyindaing,Zay Ka Lay Ward,ဈေးကလေးရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,Maw Tin Yar Yi Zay Ward,မော်တင်ယာယီဈေးရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Yangon,Lanmadaw,Lanmadaw,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Yangon,Latha,Latha,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Yangon,Mayangone,Mayangone,No (1) Ward (Tha Maing Bu Tar (West)),အမှတ် (၁) ရပ်ကွက် (သမိုင်းဘူတာအနောက်),,,
Yangon,Mayangone,Mayangone,No (10) Ward (Chaw Twin Kone),အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),,,
Yangon,Mayangone,Mayangone,No (2) Ward (Tha Maing Myo),အမှတ် (၂) ရပ်ကွက် (သမိုင်းမြို့),,,
Yangon,Mayangone,Mayangone,No (3) Ward (Kyaik Waing Gyi),အမှတ် (၃) ရပ်ကွက် (ကျိုက်ဝိုင်းကြီး),,,
Yangon,Mayangone,Mayangone,No (4) Ward (Kyaik Waing Lay),အမှတ် (၄) ရပ်ကွက် (ကျိုက်ဝိုင်းလေး),,,
Yangon,Mayangone,Mayangone,No (5) Ward (Sein Pan Myaing/9 Miles),အမှတ် (၅) ရပ်ကွက် (စိန်ပန်းမြိုင်၊ ကိုးမိုင်),,,
Yangon,Mayangone,Mayangone,No (6) Ward (Nyar Na Sar Gi),အမှတ် (၆) ရပ်ကွက် (ဉာဏစာဂီ),,,
Yangon,Mayangone,Mayangone,No (7) Ward (Ywar Tan Shey),အမှတ် (၇) ရပ်ကွက်(ရွာတန်းရှည်),,,
Yangon,Mayangone,Mayangone,No (8) Ward (Ka Ba Aye San Pya),အမှတ် (၈) ရပ်ကွက် (ကမ္ဘာအေးစံပြ),,,
Yangon,Mayangone,Mayangone,No (9) Ward (Yae Ku),အမှတ် (၉) ရပ်ကွက် (ရေကူး),,,
Yangon,Mingaladon,Htaukkyant Town,Aye Ka Rit Ward,ဧကရာဇ်ရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Bago Lan Ward,ပဲခူးလမ်းရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Baw Lone Kwin Ward,ဘော်လုံးကွင်းရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Du-San Pya Ward,ဒု-စံပြရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Htauk Kyant (North) Ward,ထောက်ကြန့် (မြောက်ပိုင်း) ရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Htauk Kyant (South) Ward,ထောက်ကြန့် (တောင်ပိုင်း) ရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Htauk Kyant Toe Cheit Ward,ထောက်ကြန့်တိုးချဲ့ရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Lan Son Paing Ward,လမ်းဆုံပိုင်းရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Pa-San Pya Ward,ပ-စံပြရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Ti Law Kar Yon Ward,တိလောကရုံရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Ye Su (South) Ward,ရဲစုတောင်ရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Ywar Ma Paing Ward,ရွာမပိုင်းရပ်ကွက်,,,
Yangon,Mingaladon,Htaukkyant Town,Zay Paing Ward,စျေးပိုင်းရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Ah Nan Pin Ward,အနန်းပင်ရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Chit Tee Kone Ward,ချစ်တီးကုန်းရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Kyan Khin Su Ward,ကြံခင်းစုရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Min Ga Lar Don Zay Ward,မင်္ဂလာဒုံဈေးရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,No (2) (Ka Gyi) Ward,အမှတ် (၂) (က) ရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,No (2) (Kha Gway) Ward,အမှတ် (၂) (ခ) ရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,No (3) (Ka Gyi) Ward,အမှတ် (၃) (က) ရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,No (3) (Kha Gway) Ward,အမှတ် (၃) (ခ) ရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Pauk Kone Ward,ပေါက်ကုန်းရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Pyan Lel Nay Yar Cha Htar Yay Ward,ပြန်လည်နေရာချထားရေးရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Pyi Taw Thar Ward,ပြည်တော်သာရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,San Gyi Wa Ward,စမ်းကြီးဝရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Tat Ma Daw San Pya Ward,တပ်မတော်စံပြ ရပ်ကွက်,,,
Yangon,Mingaladon,Mingaladon,Taw Taik Ward,တောတိုက်ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Hpoet Myay Ward,ဖို့မြေရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Kan Taw Ka Lay (East) Ward,ကန်တော်ကလေး (အရှေ့) ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Kan Taw Ka Lay (North) Ward,ကန်တော်ကလေး (မြောက်) ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Kan Taw Ka Lay (South) Ward,ကန်တော်ကလေး (တောင်) ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Kan Taw Ka Lay (West) Ward,ကန်တော်ကလေး (အနောက်) ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Ku Toet Seik Ward,ကူးတို့ဆိပ်ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Kyee Taw Ward,ကျီတော်ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Lut Lat Yay Ward,လွတ်လပ်ရေးရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Ma Hlwa Kone Mee Ya Htar Ward,မလွှကုန်းမီးရထားရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Min Ga Lar Taung Nyunt Ward,မင်္ဂလာတောင်ညွန့်ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Pa Thein Nyunt Ward,ပုသိမ်ညွန့်ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,San Pya Hpa Sa Pa La Ward,စံပြ ဖ-ဆ-ပ-လ ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Sat San Ward,စက်ဆန်းရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Taung Lone Pyan Ward,တောင်လုံးပြန်ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Taung Nyunt Mee Ya Htar Ward,တောင်ညွန့်မီးရထားရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Thar Yar Kone Ward,သာယာကုန်းရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,The Pyay Kone Ward,သပြေကုန်းရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Thein Hpyu Mee Ya Htar Ward,သိမ်ဖြူမီးရထားရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,U Yin Ward,ဥယျာဉ်ရပ်ကွက်,,,
Yangon,Mingalartaungnyunt,Mingalartaungnyunt,Yae Twin Kone Ward,ရေတွင်းကုန်းရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Ga Gyi) Ward,ဃ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Ga Nge) Ward,ဂ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Hta Won Bei) Ward,ဌ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Ka Gyi) Ward,က-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Kha Gway) Ward,ခ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Nga) Ward,င-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Nya) Ward,ည-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Sa Lein) Ward,ဆ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Sa Lone) Ward,စ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Ta Ta Lin Cheik) Ward,ဋ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Za Gwe) Ward,ဇ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,(Za Myin Zwe) Ward,ဈ-ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,Kyauk Yae Twin Ward,ကျောက်ရေတွင်းရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,Pa Ywet Seik Kone Ward,ပုရွက်ဆိတ်ကုန်းရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,Shwe Pauk Kan Myo Thit Ward,ရွှေပေါက်ကံမြို့သစ်ရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,Ta Dar Gyi Ward,တံတားကြီးရပ်ကွက်,,,
Yangon,North Okkalapa,North Okkalapa,Wai Bar Gi Myo Thit Ward,ဝေဘာဂီမြို့သစ်ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Yangon,Pabedan,Pabedan,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Yangon,Pazundaung,Pazundaung,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Aung Chan Thar Ward,အောင်ချမ်းသာရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Hone Lan Bu Tar Ward,ဟုမ်းလမ်းဘူတာရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Kyun Taw (Middle) Ward,ကျွန်းတော (အလယ်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Kyun Taw (North) Ward,ကျွန်းတော (မြောက်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Kyun Taw (South) Ward,ကျွန်းတော (တောင်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Lin Lun( North) Ward,လင်းလွန်း (မြောက်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Lin Lun( South) Ward,လင်းလွန်း (တောင်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Mont Loke Saung Kone (North) Ward,မုန့်လုပ်ဆောင်းကုန်း (မြောက်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Mont Loke Saung Kone (South) Ward,မုန့်လုပ်ဆောင်းကုန်း (တောင်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Myay Ni Kone (North) Ward,မြေနီကုန်း (မြောက်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Myay Ni Kone (South) Ward,မြေနီကုန်း (တောင်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,San Chaung (North) Ward,စမ်းချောင်း (မြောက်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,San Chaung (South) Ward,စမ်းချောင်း (တောင်) ရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Shin Saw Pu Ward,ရှင်စောပုရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Than Ta Dar Ward,သံတံတားရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Thi Ri Khay Mar Ward,သီရိခေမာရပ်ကွက်,,,
Yangon,Sanchaung,Sanchaung,Wai Lu Wun (North) Ward,ဝေဠုဝန် (မြောက်) ရပ်ကွက်,,,
